paper name,multivariate dataset nums,multivariate dataset domain nums
Making the End-User a Priority in Benchmarking: OrionBench for Unsupervised Time Series Anomaly Detection,2,1
MAD-GAN: Multivariate Anomaly Detection for Time Series Data with Generative Adversarial Networks,2,1
One Fits All: Power General Time Series Analysis by Pretrained LM,5,3
UNITS: A Unified Multi-Task Time Series Model,5,3
CADET: Calibrated Anomaly Detection for Mitigating Hardness Bias,2,1
Practical Approach to Asynchronous Multi-variate Time Series Anomaly Detection and Localization,3,2
Time Series Change Point Detection with Self-Supervised Contrastive Predictive Coding,2,1
NTAM: Neighborhood-Temporal Attention Model for Disk Failure Prediction in Cloud Platforms,2,1
A Decomposition Approach for Urban Anomaly Detection Across Spatiotemporal Data,2,1
Choose Wisely: An Extensive Evaluation of Model Selection for Anomaly Detection in Time Series,9,5
Comparing Prediction Methods in Anomaly Detection: An Industrial Evaluation,4,2
Multivariate Industrial Time Series with Cyber-Attack Simulation: Fault Detection Using an LSTM-based Predictive Data Model,1,1
Detecting Anomalies in Spacecraft Telemetry Using Evolutionary Thresholding and LSTMs,1,1
An Anomaly Detection Approach Based on Isolation Forest Algorithm for Streaming Data using Sliding Window,4,3
Deep Generative model with Hierarchical Latent Factors for Time Series Anomaly Detection,4,3
Outlier Detection for Multidimensional Time Series using Deep Neural Networks,1,1
Outlier Detection for Streaming Task Assignment in Crowdsourcing,2,1
TimeEval: A benchmarking toolkit for time series anomaly detection algorithms.,14,9
The Elephant in the Room: Towards A Reliable Time-Series Anomaly Detection Benchmark.,17,9
An experimental evaluation of anomaly detection in time series.,9,6
